barcode01_MA_DS9_Crowfoot	1773821
barcode02_MA_DS9_Crowfoot	1795247
barcode03_MA_DS9_Crowfoot	1479019
barcode04_MA_DS9_Crowfoot	1870020
barcode05_MA_DS9_Crowfoot	2015990
barcode06_MA_DS9_Crowfoot	1993616
barcode07_MA_DS9_Crowfoot	1953613
barcode09_MA_DS9_Crowfoot	2052613
barcode10_MA_DS9_Crowfoot	743883
barcode11_MA_DS9_Crowfoot	1520867
barcode12_MA_DS9_Crowfoot	1739632
barcode13_MA_DS9_Crowfoot	1014264
barcode18_1405Gb	162296
barcode19_1405Gb	3838228
barcode20_1405Gb	14519511
barcode21_1405Gb	12414906
barcode22_1405Gb	12270771
barcode23_1405Gb	12130584
barcode24_1405Gb	5126289
