identifier	Read_Count
barcode01_adeI_contig_1854	27
barcode01_adeJ_contig_1854	42
barcode01_adeK_contig_1854	37
barcode01_adeN_contig_3127	13
barcode01_OXA-253_contig_1435	13
barcode01_OXA-253_contig_4126	15
barcode01_OXA-253_contig_4393	6
barcode01_OXA-441_contig_3134	26
barcode02_adeI_contig_1053	31
barcode02_adeJ_contig_1053	36
barcode02_adeK_contig_1053	40
barcode02_adeN_contig_1053	23
barcode02_OXA-253_contig_2645	6
barcode02_OXA-253_contig_5097	8
barcode02_OXA-253_contig_6900	6
barcode02_OXA-253_contig_6954	10
barcode02_OXA-441_contig_6863	15
barcode03_adeI_contig_1469	22
barcode03_adeJ_contig_1469	30
barcode03_adeK_contig_1469	27
barcode03_adeN_contig_3565	21
barcode03_OXA-253_contig_1561	17
barcode03_OXA-253_contig_2742	16
barcode03_OXA-253_contig_2996	9
barcode03_OXA-441_contig_1936	26
barcode04_adeI_contig_3278	31
barcode04_adeJ_contig_3278	39
barcode04_adeK_contig_3278	30
barcode04_adeN_contig_3810	20
barcode04_OXA-253_contig_1677	17
barcode04_OXA-253_contig_4619	7
barcode04_OXA-441_contig_4521	18
barcode05_adeI_contig_1452	19
barcode05_adeJ_contig_1452	21
barcode05_adeK_contig_1452	23
barcode05_adeN_contig_3831	19
barcode05_OXA-253_contig_1754	25
barcode05_OXA-253_contig_2718	8
barcode05_OXA-441_contig_177	14
barcode06_adeI_contig_367	25
barcode06_adeJ_contig_367	28
barcode06_adeK_contig_367	22
barcode06_adeN_contig_2640	10
barcode06_OXA-253_contig_179	3
barcode06_OXA-253_contig_2873	16
barcode06_OXA-253_contig_6001	16
barcode06_OXA-253_contig_674	11
barcode06_OXA-441_contig_2665	18
barcode07_adeI_contig_2140	24
barcode07_adeJ_contig_2140	25
barcode07_adeK_contig_2140	24
barcode07_adeN_contig_3161	13
barcode07_OXA-253_contig_1620	27
barcode07_OXA-253_contig_2129	7
barcode07_OXA-441_contig_2265	13
barcode09_adeK_contig_5592	9
barcode09_OXA-253_contig_2512	7
barcode09_OXA-253_contig_3005	6
barcode09_OXA-253_contig_7014	9
barcode09_OXA-253_contig_988	22
barcode09_OXA-441_contig_6191	4
barcode10_adeI_contig_782	9
barcode10_adeJ_contig_782	12
barcode10_adeK_contig_782	9
barcode10_OXA-253_contig_1341	5
barcode10_OXA-253_contig_423	11
barcode10_OXA-253_contig_425	15
barcode10_OXA-253_contig_442	11
barcode10_OXA-253_contig_5090	5
barcode10_OXA-441_contig_7186	6
barcode11_adeI_contig_4662	15
barcode11_adeN_contig_6932	5
barcode11_OXA-253_contig_2479	6
barcode11_OXA-253_contig_293	34
barcode11_OXA-253_contig_4309	2
barcode11_OXA-253_contig_4613	2
barcode11_OXA-253_contig_7041	9
barcode11_OXA-253_contig_7071	11
barcode11_OXA-441_contig_3039	5
barcode12_adeI_contig_1925	13
barcode12_adeJ_contig_1925	18
barcode12_adeN_contig_6336	7
barcode12_OXA-253_contig_1862	22
barcode12_OXA-253_contig_4233	4
barcode12_OXA-253_contig_7019	10
barcode12_OXA-253_contig_723	15
