identifier	Read_Count
barcode01_adeI_contig_480	53
barcode01_adeJ_contig_480	72
barcode01_adeK_contig_480	54
barcode01_adeN_contig_13309	31
barcode01_OXA-253_contig_11238	16
barcode01_OXA-253_contig_13677	8
barcode01_OXA-253_contig_5568	14
barcode01_OXA-441_contig_1363	60
barcode02_adeI_contig_456	61
barcode02_adeJ_contig_456	73
barcode02_adeK_contig_456	66
barcode02_adeN_contig_858	42
barcode02_OXA-253_contig_11613	11
barcode02_OXA-253_contig_11818	12
barcode02_OXA-253_contig_1325	2
barcode02_OXA-253_contig_2424	13
barcode02_OXA-253_contig_2469	19
barcode02_OXA-253_contig_2472	3
barcode02_OXA-253_contig_2481	14
barcode02_OXA-253_contig_5025	9
barcode02_OXA-441_contig_888	38
barcode03_adeI_contig_3311	47
barcode03_adeJ_contig_3311	60
barcode03_adeK_contig_3311	57
barcode03_adeN_contig_13485	37
barcode03_OXA-253_contig_12922	13
barcode03_OXA-253_contig_5784	35
barcode03_OXA-253_contig_5799	29
barcode03_OXA-441_contig_2695	53
barcode04_adeI_contig_7600	70
barcode04_adeJ_contig_7600	88
barcode04_adeK_contig_7600	74
barcode04_adeN_contig_4371	39
barcode04_OXA-253_contig_10489	7
barcode04_OXA-253_contig_4332	13
barcode04_OXA-253_contig_546	18
barcode04_OXA-441_contig_4462	42
barcode05_adeI_contig_6045	43
barcode05_adeJ_contig_6045	55
barcode05_adeK_contig_6045	54
barcode05_adeN_contig_71	26
barcode05_OXA-253_contig_12479	12
barcode05_OXA-253_contig_2005	16
barcode05_OXA-253_contig_6462	26
barcode05_OXA-441_contig_5603	21
barcode06_adeI_contig_4648	40
barcode06_adeJ_contig_4648	50
barcode06_adeK_contig_4648	34
barcode06_adeN_contig_4422	18
barcode06_OXA-253_contig_1471	17
barcode06_OXA-253_contig_3287	5
barcode06_OXA-253_contig_3325	15
barcode06_OXA-253_contig_4369	19
barcode06_OXA-253_contig_4596	13
barcode06_OXA-253_contig_5737	8
barcode06_OXA-253_contig_7109	18
barcode06_OXA-441_contig_712	26
barcode07_adeI_contig_4449	42
barcode07_adeJ_contig_4449	50
barcode07_adeK_contig_4449	36
barcode07_adeN_contig_1631	22
barcode07_GES-1_contig_5402	3
barcode07_OXA-253_contig_12479	18
barcode07_OXA-253_contig_1263	41
barcode07_OXA-441_contig_4997	27
barcode09_adeI_contig_4023	18
barcode09_adeJ_contig_4023	19
barcode09_adeK_contig_4023	15
barcode09_adeN_contig_6964	13
barcode09_OXA-253_contig_12796	12
barcode09_OXA-253_contig_13376	13
barcode09_OXA-253_contig_2258	11
barcode09_OXA-253_contig_6300	10
barcode09_OXA-441_contig_9677	13
barcode10_adeI_contig_2686	9
barcode10_adeJ_contig_2686	12
barcode10_adeK_contig_2686	9
barcode10_OXA-253_contig_2076	18
barcode10_OXA-253_contig_2083	7
barcode10_OXA-253_contig_2084	15
barcode10_OXA-253_contig_2091	8
barcode10_OXA-253_contig_2092	8
barcode10_OXA-253_contig_4031	9
barcode10_OXA-253_contig_5605	4
barcode10_OXA-253_contig_7941	7
barcode10_OXA-441_contig_6514	6
barcode11_adeI_contig_10509	24
barcode11_adeJ_contig_10509	27
barcode11_adeK_contig_10509	16
barcode11_adeN_contig_7377	8
barcode11_OXA-253_contig_1219	17
barcode11_OXA-253_contig_1383	18
barcode11_OXA-253_contig_4815	22
barcode11_OXA-253_contig_5103	10
barcode11_OXA-253_contig_676	16
barcode11_OXA-441_contig_1547	10
barcode12_adeI_contig_5622	26
barcode12_adeJ_contig_5622	33
barcode12_adeK_contig_5622	25
barcode12_adeN_contig_8367	20
barcode12_OXA-253_contig_1304	4
barcode12_OXA-253_contig_13325	4
barcode12_OXA-253_contig_1406	7
barcode12_OXA-253_contig_1748	56
barcode12_OXA-253_contig_1780	11
barcode12_OXA-253_contig_1781	5
barcode12_OXA-253_contig_1788	2
barcode12_OXA-253_contig_7956	9
barcode12_OXA-441_contig_9293	3
