barcode01_DS_3.8GB.fastq.gz: 5534880
barcode02_DS_3.8GB.fastq.gz: 6393912
barcode03_DS_3.8GB.fastq.gz: 5263064
barcode04_DS_3.8GB.fastq.gz: 6841080
barcode05_DS_3.8GB.fastq.gz: 6973280
barcode06_DS_3.8GB.fastq.gz: 5423392
barcode07_DS_3.8GB.fastq.gz: 4626276
barcode08_DS_3.8GB.fastq.gz: 2685368
barcode09_DS_3.8GB.fastq.gz: 346856
barcode10_DS_3.8GB.fastq.gz: 1012
barcode11_DS_3.8GB.fastq.gz: 384
barcode12_DS_3.8GB.fastq.gz: 1036
barcode13_DS_3.8GB.fastq.gz: 120
barcode14_DS_3.8GB.fastq.gz: 72
barcode15_DS_3.8GB.fastq.gz: 148
barcode16_DS_3.8GB.fastq.gz: 456
barcode17_DS_3.8GB.fastq.gz: 508
barcode18_DS_3.8GB.fastq.gz: 252
barcode19_DS_3.8GB.fastq.gz: 552
barcode20_DS_3.8GB.fastq.gz: 352
barcode21_DS_3.8GB.fastq.gz: 264
barcode22_DS_3.8GB.fastq.gz: 200
barcode23_DS_3.8GB.fastq.gz: 96
barcode24_DS_3.8GB.fastq.gz: 620
